Win,Time,Score,Algorythm
False,0.6195,40,minimax
False,15.4506,350,minimax
False,9.4316,200,minimax
False,13.1909,150,minimax
False,3.4407,90,minimax
False,1.3948,30,minimax
False,0.3179,10,minimax
False,0.8294,40,minimax
False,0.9928,50,minimax
False,0.2597,20,minimax
False,0.6577,40,minimax
False,0.4491,40,minimax
False,0.4781,40,minimax
False,0.4495,20,minimax
False,7.5591,240,minimax
False,2.1682,20,minimax
False,12.5100,320,minimax
False,5.5138,260,minimax
False,15.5900,350,minimax
False,0.6455,30,minimax
False,4.7860,90,minimax
False,0.4614,30,minimax
False,1.0455,60,minimax
True,19.3483,400,minimax
False,0.6118,30,minimax
False,1.3246,50,minimax
False,12.0044,340,minimax
False,1.7860,80,minimax
False,0.7270,40,minimax
False,0.8151,60,minimax
True,15.2489,400,minimax
False,4.1363,150,minimax
False,22.6682,380,minimax
False,2.7128,50,minimax
False,0.2532,20,minimax
False,0.2234,10,minimax
False,0.4817,40,minimax
False,7.6471,280,minimax
True,20.5506,390,minimax
True,15.2219,400,expectimax
False,0.5944,40,expectimax
False,8.5156,210,expectimax
False,0.4646,40,expectimax
False,1.6929,100,expectimax
False,0.2570,10,expectimax
False,0.0208,10,expectimax
False,1.0021,40,expectimax
False,0.6398,40,expectimax
False,0.6288,40,expectimax
False,2.6860,120,expectimax
False,1.4212,80,expectimax
False,2.9058,90,expectimax
False,1.0145,40,expectimax
True,18.0920,400,expectimax
False,12.0515,360,expectimax
False,1.0032,40,expectimax
False,1.1927,70,expectimax
False,1.9161,80,expectimax
False,0.2501,20,expectimax
False,0.6361,40,expectimax
False,0.7347,40,expectimax
False,18.5847,350,expectimax
